# Frequency(Hz) Z_real(Ohm.cm2) Z_imag(Ohm.cm2)
0.100000 0.522496 -0.110740
0.126486 0.519879 -0.102231
0.159986 0.511645 -0.097143
0.202359 0.487520 -0.094469
0.255955 0.498888 -0.089311
0.323746 0.461950 -0.105451
0.409492 0.467121 -0.116633
0.517947 0.442744 -0.119030
0.655129 0.426159 -0.109808
0.828643 0.415657 -0.147137
1.048113 0.392986 -0.141798
1.325711 0.382448 -0.127116
1.676833 0.351741 -0.155526
2.120951 0.313397 -0.120479
2.682696 0.298172 -0.135885
3.393222 0.267242 -0.129239
4.291934 0.242762 -0.145220
5.428675 0.227789 -0.106442
6.866488 0.203500 -0.081817
8.685114 0.199780 -0.096664
10.985411 0.176072 -0.083680
13.894955 0.191699 -0.076649
17.575106 0.147887 -0.075198
22.229965 0.156842 -0.048718
28.117687 0.145011 -0.037656
35.564803 0.126451 -0.041594
44.984327 0.133877 -0.040991
56.898660 0.146839 -0.018310
71.968567 0.145966 -0.012287
91.029818 0.132112 -0.032883
115.139540 0.128904 -0.021789
145.634848 0.142524 -0.029752
184.206997 0.139144 -0.023861
232.995181 0.133745 0.000287
294.705170 0.110187 -0.011805
372.759372 0.131137 -0.013177
471.486636 0.140944 -0.017453
596.362332 0.133049 -0.018414
754.312006 0.135836 -0.004671
954.095476 0.107924 -0.004460
1206.792641 0.117532 -0.023413
1526.417967 0.124910 -0.016287
1930.697729 0.110575 0.006478
2442.053095 0.100755 -0.001578
3088.843596 0.110529 -0.022537
3906.939937 0.120590 -0.017797
4941.713361 0.120564 -0.005430
6250.551925 0.106695 0.001528
7906.043211 0.106104 0.015542
10000.000000 0.120332 0.005664
